Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 6272880k(2144552k free), swap 12543884k(7082232k free)
CommandLine flags: -XX:GCLogFileSize=1048576 -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelOldGC 
2018-03-10T15:20:38.045+0300: 1.659: [GC (Allocation Failure) [PSYoungGen: 65536K->10744K(76288K)] 65536K->24681K(251392K), 0.0841861 secs] [Times: user=0.06 sys=0.00, real=0.09 secs] 
2018-03-10T15:21:03.547+0300: 27.161: [Full GC (Ergonomics) [PSYoungGen: 29696K->29681K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204589K->204575K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0258648 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:03.573+0300: 27.187: [Full GC (Ergonomics) [PSYoungGen: 29696K->29687K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204589K->204581K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0231509 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.596+0300: 27.211: [Full GC (Ergonomics) [PSYoungGen: 29696K->29694K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204589K->204588K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0236775 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.620+0300: 27.235: [Full GC (Ergonomics) [PSYoungGen: 29696K->29694K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204589K->204588K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0256364 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:03.646+0300: 27.260: [Full GC (Ergonomics) [PSYoungGen: 29696K->29688K(58368K)] [ParOldGen: 175098K->174999K(175104K)] 204794K->204687K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0247912 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:03.671+0300: 27.285: [Full GC (Ergonomics) [PSYoungGen: 29694K->29694K(58368K)] [ParOldGen: 174999K->174999K(175104K)] 204694K->204694K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0246413 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:03.696+0300: 27.310: [Full GC (Ergonomics) [PSYoungGen: 29696K->29688K(58368K)] [ParOldGen: 175099K->175055K(175104K)] 204795K->204744K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0244981 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.721+0300: 27.335: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175055K->175049K(175104K)] 204751K->204744K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0221764 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.743+0300: 27.358: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175099K->175074K(175104K)] 204795K->204769K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0227158 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.766+0300: 27.380: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175099K->175087K(175104K)] 204795K->204782K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0246819 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.791+0300: 27.405: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175099K->175093K(175104K)] 204795K->204788K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0236493 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.815+0300: 27.429: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175099K->175099K(175104K)] 204794K->204794K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0252424 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.840+0300: 27.455: [Full GC (Allocation Failure) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175099K->174688K(175104K)] 204794K->204383K(233472K), [Metaspace: 9335K->9148K(1058816K)], 0.0818876 secs] [Times: user=0.22 sys=0.00, real=0.08 secs] 
2018-03-10T15:21:03.923+0300: 27.537: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 174895K->174788K(175104K)] 204591K->204484K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0227266 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.946+0300: 27.560: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 174788K->174788K(175104K)] 204484K->204484K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0235543 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
